County,Highest Pollutant,Highest Pollutant Value
Calhoun,O3,4098.17
Carroll,O3,3839.82
Cass Cou,O3,3774.74
Cedar Co,O3,4595.87
Cerro Go,O3,4080.48
Cherokee,O3,3915.66
Chickasa,O3,4385.74
Clarke C,O3,4116.35
Clay Cou,O3,4070.25
Clayton,O3,5083.72
Clinton,O3,5181.19
Crawford,O3,3883.57
Dallas C,O3,4513.44
Davis Co,O3,4132.78
Decatur,O3,3830.4
Delaware,O3,5041.54
Des Moin,O3,3769.56
Dickinso,O3,4074.68
Dubuque,O3,5165.55
Emmet Co,O3,4140.17
Fayette,O3,4737.56
Floyd Co,O3,4163.09
Franklin,O3,4035.42
Fremont,O3,3995.29
Greene C,O3,4131.78
Grundy C,O3,4261.9
Guthrie,O3,3813.53
Hamilton,O3,4109.38
Hancock,O3,3898.89
Hardin C,O3,4101.96
Harrison,O3,4617.0
Henry Co,O3,4098.03
Howard C,O3,4234.75
Humboldt,O3,3942.16
Ida Coun,O3,3862.13
Iowa Cou,O3,4369.89
Jackson,O3,5332.09
Jasper C,O3,4362.02
Jefferso,O3,4299.93
Johnson,O3,4708.42
Jones Co,O3,4942.95
Keokuk C,O3,4359.23
Kossuth,O3,3955.74
Lee Coun,O3,3709.56
Linn Cou,O3,5365.24
Louisa C,O3,4090.29
Lucas Co,O3,4180.64
Lyon Cou,O3,6576.79
Madison,O3,4366.84
Mahaska,O3,4075.47
Marion C,O3,4199.04
Marshall,O3,4419.76
Mills Co,O3,4616.74
Mitchell,O3,4177.35
Monona C,O3,3920.63
Monroe C,O3,3938.6
Montgome,O3,3970.91
Muscatin,O3,4229.25
O'Brien,O3,4123.51
Osceola,O3,4345.27
Page Cou,O3,3843.99
Palo Alt,O3,4515.95
Plymouth,O3,4163.36
Pocahont,O3,4142.26
Polk Cou,O3,5346.13
Pottawat,O3,4535.14
Poweshie,O3,4335.47
Ringgold,O3,3636.36
Sac Coun,O3,3905.24
Scott Co,O3,4433.0
Shelby C,O3,4011.03
Sioux Co,O3,5254.28
Story Co,O3,4583.54
Tama Cou,O3,4338.31
Taylor C,O3,3577.23
Union Co,O3,3810.05
Van Bure,O3,4715.96
Wapello,O3,4152.72
Warren C,O3,4958.68
Washingt,O3,4390.75
Wayne Co,O3,3832.97
Webster,O3,4203.32
Winnebag,O3,3947.5
Winneshi,O3,4466.88
Woodbury,O3,3770.14
Worth Co,O3,3957.11
Wright C,O3,4009.87
Adair Co,O3,6652.25
Allen Co,O3,10518.75
Anderson,O3,4843.29
Ballard,O3,5004.5
Barren C,O3,13979.77
Bath Cou,O3,5083.47
Bell Cou,O3,5293.9
Boone Co,O3,5343.88
Bourbon,O3,4941.28
Boyd Cou,O3,6331.32
Boyle Co,O3,4909.98
Bracken,O3,5278.17
Breathit,O3,5480.45
Breckinr,O3,8113.72
Bullitt,O3,5483.93
Butler C,O3,10321.28
Caldwell,O3,5819.66
Calloway,O3,6118.3
Campbell,O3,5286.57
Carlisle,O3,5466.65
Carroll,O3,4585.5
Carter C,O3,6374.68
Casey Co,O3,5374.49
Christia,O3,7014.79
Clark Co,O3,4860.89
Clay Cou,O3,5215.21
Clinton,O3,7523.88
Crittend,O3,5350.28
Cumberla,O3,8063.6
Daviess,O3,10695.83
Edmonson,O3,24957.54
Elliott,O3,5630.96
Estill C,O3,4916.51
Fayette,O3,4861.06
Fleming,O3,5166.71
Floyd Co,O3,5370.36
Franklin,O3,4939.68
Fulton C,O3,6425.44
Gallatin,O3,4753.76
Garrard,O3,4823.95
Grant Co,O3,4784.67
Graves C,O3,5779.21
Grayson,O3,12172.42
Green Co,O3,7436.87
Greenup,O3,10376.84
Hancock,O3,8206.26
Hardin C,O3,7022.97
Harlan C,O3,5907.21
Harrison,O3,4871.67
Hart Cou,O3,14726.1
Henderso,O3,4965.36
Henry Co,O3,4692.69
Hickman,O3,6454.85
Hopkins,O3,5912.17
Jackson,O3,5083.76
Jefferso,O3,5284.26
Jessamin,O3,4992.27
Johnson,O3,5478.16
Kenton C,O3,4780.39
Knott Co,O3,5916.96
Knox Cou,O3,5361.99
Larue Co,O3,6947.67
Laurel C,O3,5283.55
Lawrence,O3,5693.13
Lee Coun,O3,5123.88
Leslie C,O3,5642.64
Letcher,O3,6171.77
Lewis Co,O3,6227.87
Lincoln,O3,5070.51
Livingst,O3,5508.83
Logan Co,O3,9673.31
Lyon Cou,O3,5946.62
McCracke,O3,5211.79
