County,Highest Parts Per Million Value,Highest Parts Per Million
Vanderbu,21.34,PM10
Vermilli,12.08,PM2.5
Vigo Cou,21.95,PM10
Wabash C,12.45,PM10
Warren C,11.11,PM2.5
Warrick,17.7,PM10
Washingt,13.4,PM10
Wayne Co,13.92,PM10
Wells Co,14.35,PM10
White Co,10.52,PM2.5
Whitley,17.89,PM10
Adair Co,10.15,PM10
Adams Co,10.0,PM10
Allamake,9.94,PM2.5
Appanoos,10.09,PM2.5
Audubon,10.35,PM10
Benton C,16.95,PM10
Black Ha,24.7,PM10
Boone Co,13.93,PM10
Bremer C,16.64,PM10
Buchanan,16.79,PM10
Buena Vi,11.26,PM10
Butler C,15.65,PM10
Calhoun,10.85,PM10
Carroll,10.31,PM10
Cass Cou,10.17,PM10
Cedar Co,19.13,PM10
Cerro Go,20.49,PM10
Cherokee,11.2,PM10
Chickasa,12.77,PM10
Clarke C,11.53,PM10
Clay Cou,12.2,PM10
Clayton,11.08,PM10
Clinton,17.39,PM10
Crawford,11.19,PM10
Dallas C,14.86,PM10
Davis Co,10.9,PM10
Decatur,9.69,PM10
Delaware,14.4,PM10
Des Moin,16.16,PM10
Dickinso,12.4,PM10
Dubuque,11.92,PM10
Emmet Co,15.4,PM10
Fayette,12.73,PM10
Floyd Co,15.83,PM10
Franklin,14.33,PM10
Fremont,14.15,PM10
Greene C,11.28,PM10
Grundy C,14.98,PM10
Guthrie,10.89,PM10
Hamilton,12.53,PM10
Hancock,13.02,PM10
Hardin C,13.07,PM10
Harrison,15.13,PM10
Henry Co,15.32,PM10
Howard C,10.39,PM10
Humboldt,11.65,PM10
Ida Coun,11.15,PM10
Iowa Cou,14.29,PM10
Jackson,13.76,PM10
Jasper C,13.25,PM10
Jefferso,13.52,PM10
Johnson,17.42,PM10
Jones Co,15.19,PM10
Keokuk C,12.52,PM10
Kossuth,12.22,PM10
Lee Coun,16.76,PM10
Linn Cou,20.44,PM10
Louisa C,18.16,PM10
Lucas Co,11.7,PM10
Lyon Cou,12.64,PM10
Madison,13.46,PM10
Mahaska,11.19,PM10
Marion C,12.75,PM10
Marshall,13.28,PM10
Mills Co,16.88,PM10
Mitchell,14.2,PM10
Monona C,13.41,PM10
Monroe C,10.52,PM10
Montgome,11.99,PM10
Muscatin,23.58,PM10
O'Brien,11.12,PM10
Osceola,11.04,PM10
Page Cou,11.8,PM10
Palo Alt,16.92,PM10
Plymouth,15.7,PM10
Pocahont,12.35,PM10
Polk Cou,23.44,PM10
Pottawat,14.76,PM10
Poweshie,12.36,PM10
Ringgold,9.12,PM10
Sac Coun,10.67,PM10
Scott Co,21.6,PM10
Shelby C,11.62,PM10
Sioux Co,12.7,PM10
Story Co,15.0,PM10
Tama Cou,14.94,PM10
Taylor C,10.12,PM10
Union Co,9.88,PM10
Van Bure,16.31,PM10
Wapello,11.28,PM10
Warren C,17.29,PM10
Washingt,14.55,PM10
Wayne Co,10.19,PM10
Webster,11.31,PM10
Winnebag,12.94,PM10
Winneshi,9.32,PM2.5
Woodbury,14.75,PM10
Worth Co,20.39,PM10
Wright C,11.96,PM10
Adair Co,12.47,PM2.5
Allen Co,11.7,PM2.5
Anderson,12.36,PM10
Ballard,11.51,PM2.5
Barren C,11.63,PM2.5
Bath Cou,11.72,PM2.5
Bell Cou,18.14,PM10
Boone Co,13.99,PM10
Bourbon,13.88,PM10
Boyd Cou,20.81,PM10
Boyle Co,13.0,PM10
Bracken,10.74,PM2.5
Breathit,15.61,PM10
Breckinr,14.59,PM10
Bullitt,19.87,PM10
Butler C,12.21,PM10
Caldwell,11.72,PM2.5
Calloway,11.48,PM10
Campbell,16.02,PM10
Carlisle,11.68,PM2.5
Carroll,10.74,PM10
Carter C,14.75,PM10
Casey Co,12.37,PM2.5
Christia,12.19,PM2.5
Clark Co,15.11,PM10
Clay Cou,15.32,PM10
Clinton,12.7,PM2.5
Crittend,12.27,PM10
Cumberla,12.34,PM2.5
Daviess,16.78,PM10
Edmonson,12.91,PM10
Elliott,13.19,PM10
Estill C,13.64,PM10
Fayette,21.11,PM10
Fleming,11.68,PM2.5
Floyd Co,16.84,PM10
Franklin,12.7,PM2.5
Fulton C,11.5,PM2.5
Gallatin,11.19,PM10
Garrard,15.16,PM10
Grant Co,11.83,PM10
Graves C,12.17,PM10
Grayson,12.92,PM10
Green Co,12.21,PM2.5
Greenup,19.43,PM10
Hancock,17.14,PM10
Hardin C,15.9,PM10
Harlan C,17.21,PM10
Harrison,12.41,PM10
Hart Cou,12.07,PM2.5
Henderso,15.56,PM10
Henry Co,11.16,PM10
Hickman,11.51,PM2.5
Hopkins,11.96,PM2.5
Jackson,14.39,PM10
Jefferso,22.16,PM10
Jessamin,17.75,PM10
Johnson,15.1,PM10
Kenton C,15.47,PM10
Knott Co,17.12,PM10
Knox Cou,16.96,PM10
Larue Co,13.28,PM10
Laurel C,16.15,PM10
Lawrence,15.83,PM10
Lee Coun,12.74,PM10
Leslie C,17.42,PM10
Letcher,14.3,PM10
Lewis Co,11.88,PM2.5
Lincoln,13.98,PM10
Livingst,14.8,PM10
Logan Co,12.38,PM10
Lyon Cou,13.03,PM10
McCracke,15.2,PM10
McCreary,13.98,PM10
McLean C,13.7,PM10
Madison,19.8,PM10
Magoffin,14.45,PM10
Marion C,11.97,PM10
Marshall,14.75,PM10
Martin C,15.41,PM10
Mason Co,11.24,PM2.5
Meade Co,15.93,PM10
Menifee,12.1,PM2.5
Mercer C,13.05,PM10
Metcalfe,11.94,PM2.5
Monroe C,11.95,PM2.5
